TF	Target	Confidence
Egr1	Impa2	0.9350877106751873
Sp100	Gypc	0.9349384980000158
Fos	Abcd3	0.9348995004340369
Creb3l2	M6pr	0.9348830890960338
Arid3a	Ccdc50	0.9348173305555771
Nr4a3	Rora	0.9347124832970696
Bhlhe40	Ctsw	0.9347002101633177
Ets1	Cd83	0.9346422537072234
Arid2	Igf2bp3	0.9346168321478353
Nr1h2	Tcf25	0.9345682829643712
Egr2	Exoc6	0.9344948805738217
Irf9	Lgals3bp	0.9342254003883872
Rreb1	Riok3	0.9341821383304084
Arid3a	Klf13	0.9340192670332056
Fos	Cs	0.9339999466179851
Atf2	Ss18	0.9339951691377032
Cic	Cstf2t	0.9338878402054193
Sp110	Myo6	0.9337975852245947
Bach1	Tnfsf8	0.9336993881731437
Ahctf1	R3hdm1	0.9336897562516928
Dzip1	Plekho1	0.9335215125109858
E4f1	Dnmt3b	0.9334810572440734
Ahctf1	Sepw1	0.933315905439215
Atf6	Cxcr6	0.9333119008410399
Fosb	Plekho1	0.9332610811466768
Sox4	Plekho1	0.933205629131641
Atf2	Mina	0.9331834299244305
Srebf1	Dusp6	0.9331753496302402
Batf	Phlda3	0.9331410192756846
Nr3c1	Cdc23	0.9331267887831064
Zfp260	Antxr2	0.9328832657829926
Klf10_Klf11	1110057K04Rik	0.9326739375804026
Myc	Hsd17b7	0.9325010972449661
Bach1	Ncf1	0.9320419936272056
Hif3a	Id1	0.9320278228402475
Zfp386	Emb	0.931714542365123
Nr4a3	Cbx4	0.9317118430368535
Irf2	Gnpda1	0.9316952274234558
Lef1	Nr4a1	0.9315435041196035
Hbp1	Mgll	0.9315282132544587
Bach1	Utrn	0.93149738072768
Skil	Abca1	0.9314440752932291
Egr2	Trpv2	0.9313855677326637
Bach1	Ppp3ca	0.9313428818504839
Ddit3	D1Ertd622e	0.9312352021801367
Egr1	Sqle	0.9309350553501617
Foxo1	Fas	0.9309302526646598
Irf7	Pbx2	0.9308655091887545
E4f1	Slc38a1	0.9306775630582047
Bach1	Parp6	0.9305422180971764
Myb	1110057K04Rik	0.9304974751955135
Crem	Nsg2	0.9304261070698128
Arid2	Tle4	0.9303575762690502
Klf4	Cxcr6	0.9303445670766186
Cic	Ctnna1	0.9303213383314298
Bach1	Nfkbie	0.9302155532520368
Plscr1	Trib3	0.9301502914470068
Foxk2_Foxp1...	Sdc3	0.9301232201183378
