TF	Target	Confidence
Arid3a	Maff	0.836394876785949
Batf	Pvt1	0.8363857360265544
Atf2	Ifnar1	0.8362031585603532
Tal2	Rhbdf1	0.836162730017978
Arid3a	Ppap2a	0.8355999101556197
Bcl6	Rpp14	0.835537448917032
Arid3a	Psrc1	0.8355251273868209
Creb3l2	Tnfrsf21	0.8354816924539117
Cic	Pcbp4	0.8354060833671563
Batf	Socs3	0.8353137482944379
Atf6	Surf4	0.8353055857589673
Rela	Nrf1	0.8351381588156191
Mxi1	Tyw1	0.835093596776257
Irf4	Afp	0.8346932888091061
Batf	Itpr1	0.83460272001297
Sp100	Ramp3	0.8344534022882995
Pknox1	Gabbr1	0.8342959793205509
Atf2	Ccrn4l	0.8342707449714105
Ets1	Vegfb	0.8339941153794552
Nr3c1	Gemin6	0.8338695288706182
Foxk2_Foxp1...	Gabbr1	0.8337463615873953
Stat3	Chmp4b	0.8336118136855305
Stat3	Etv6	0.8333613238138466
Bach1	Erc1	0.8332650034233604
E2f1	Mgat4b	0.8332219532156867
Cebpg	Rbpj	0.8330444015807141
Satb1	Chd7	0.833019309052639
Irf7	Ifih1	0.83298639209096
Rela	Ppcdc	0.832907920955898
Pou2af1	Tnfrsf25	0.8327258730337261
Bach1	Sh3bp5	0.832035643985123
Foxo1	Utp20	0.8319185940762227
Batf	Pkp3	0.8317852041742025
Zbtb7b	Nfe2l2	0.8315327447275356
Jun	Acsl4	0.8312618096482779
Cic	Anxa2	0.8311368177084403
Nfkb2	Tnfsf9	0.8306334212388752
Cic	Chmp4b	0.8305126248036496
Atf6	Ankmy2	0.8304778132873492
Bach1	Ptp4a1	0.8304249669560558
Egr1	Acsl5	0.8299543415339934
Batf	Lad1	0.8296964408240867
Deaf1	Cd160	0.8296199283040662
Bach1	Slc9a8	0.829554980765399
Stat1	Got1	0.8294860193094784
Nfkb2	Kdm2b	0.8294295432217298
Zbtb7b	Map3k1	0.8293283479897448
E4f1	Mbtd1	0.829181401561973
Arid2	Tpst1	0.8291116212423667
Nr4a2	Nck2	0.8288307420397719
Sp2	Ccbl2	0.8285966907083401
Klf10	Tgfbr1	0.8285056994637793
Nr4a1	Rpn1	0.8283595912927069
Batf	Hexb	0.8280468995873798
Hif1a	Pla2g12a	0.8280167273540844
Nr4a3	Rora	0.8279717362549205
Arid3a	Perp	0.827938963434985
Irf4	Foxp1	0.8277566112743906
Atf6	Larp4b	0.8277532386630349
Cic	Agpat3	0.8274808301052734
Zfx	D1Ertd622e	0.8273674832325296
Egr2	Cd1d1	0.8273605699927318
Hif1a	Hook2	0.8273273634873142
Atf6	Erc1	0.82721167216555
Batf	Sh3gl3	0.8271909821336413
Batf	Ahnak	0.827026449891661
Plagl1	Batf	0.8270088021147459
Egr3	Bzw2	0.8269652343456534
Zfp101	Helb	0.8267599883016482
Rreb1	Mcoln2	0.8266360431335795
Creb1	Crem	0.8264725194977913
Arid3a	Hlcs	0.825750756295634
Ddit3	Id3	0.8252357409946738
Batf	Papss1	0.8249776903808208
Arid3a	Mpzl2	0.824946966403288
Cic	Stab1	0.8249128690816456
Arid3a	Zfp426	0.8248757840422394
Sox4	Tnfaip8	0.8243808426464732
Bach1	Atp1a1	0.8242245915009607
Irf2	Il15ra	0.8238908156268396
Atf6	Slc39a14	0.823794229273785
Batf	Fosl2	0.8236340822227314
Rxra	Gemin6	0.823554929106555
Rreb1	Tnfsf9	0.8235363546865705
Arid3a	Phlda3	0.8234683375085315
Egr1	Ptprs	0.8234639313544707
Foxn2	Vav3	0.8234411474589267
Batf	Ndrg2	0.8233827938147689
Ahr	Ass1	0.8232547509703535
Foxo1	Dnajc12	0.8231840038603078
Fos	Abcg2	0.823112569707989
Bhlhe40	Ccl3	0.823035742155251
Stat3	Atf6	0.8228835874416777
Foxo3	Bmp2k	0.8226134524268633
Nr3c1	Gtse1	0.822373253443529
Fli1	Kcna3	0.8221972107083095
Nr3c1	Ncf1	0.8221632766619172
Cic	Stx7	0.8221453765161493
Batf	Socs5	0.8220104888056454
Hif1a	Eif4ebp1	0.8219785651343604
Atf2	Mnda	0.821882028197515
Rela	Ccng2	0.8218663305628346
Bach1	Etv6	0.8217092874212151
Arid3a	Nts	0.821659453285515
Cic	Slc4a8	0.821576857506702
Mbd6	Icam2	0.8214913996376212
Crem	Syf2	0.8214867283020699
Mafg	Cd4	0.8212680386059125
E4f1	Plagl1	0.8209210544346361
Hif3a	Slc14a1	0.8207261462294111
Cebpb	Dusp14	0.8205953326826275
Jun	Adam19	0.8205608916352162
Atf2	Epsti1	0.8204595188220807
Ahctf1	Kctd14	0.8202658256317318
Cebpg	Arl4c	0.8201465637639632
Fos	Pde7a	0.8200551468327321
Batf	Calcrl	0.8199628359740495
Creb3l2	Mmachc	0.8197772829598027
Irf4	Batf	0.8197316919818066
Zfp202	Hlcs	0.819630275826886
Cux1	Dusp22	0.8195992744911265
Cebpg	Litaf	0.8193620193917663
Batf	Bcl2	0.8192856190770094
Egr1	Decr1	0.8190195448647847
E4f1	Map3k14	0.8189610025229799
Arid2	Bmyc	0.818867549218072
Fos	Rpa2	0.8188554108042456
Ets2	Fbxo4	0.8187814131685948
Ets1	Pde6d	0.8187136639476806
Arid5a	Ecm1	0.8186779957831318
Relb	Hk2	0.8184688238488139
Atf2	Reps1	0.8183704673237819
Stat1	Igtp	0.8181814467363501
Zmiz2	Heatr1	0.8181242219686475
Plagl2	Edem1	0.8180644477919818
Irf9	Ifit1	0.8178736568838899
Smad4	Klf10	0.8178600259007331
Egr3	Dusp12	0.8177092950327414
Cux1	Plxnc1	0.8175327257342503
Sp110	Psmd8	0.8170486280370315
Cic	Arhgdig	0.8169662186946309
Fos	Nek6	0.8162560962312119
Klf9	Sec14l1	0.8162348377814207
Irf2	Psme2	0.816207768407424
Myc	Txndc17	0.8161645050057519
Zfp386	Sash3	0.8160801512381202
Elk4	Gart	0.8158365791434576
Klf2	Dusp6	0.8158054024415334
Jun	Gabbr1	0.8156230885117377
E2f1	Tyms-ps	0.8156092907095507
Irf8	Tex15	0.8153567102917618
Smad4	Cpd	0.8153307657435187
Zfp202	Ube2v1	0.8153021533925724
Atf3	Tlcd1	0.815293274107843
Stat1	Zbp1	0.8152143630578184
Lyl1_Tal2	Kifc3	0.815134255334144
Mxi1	Galk1	0.8150770616973241
Foxo1	Samsn1	0.8147426762354092
Klf9	Zeb1	0.8146352396388757
Egr1	Zfp239	0.8143389764075744
Ahctf1	Cstf2t	0.8141587144242091
Bcl6	Sertad1	0.8135848664375747
Bach1	Tmem71	0.8135319059230401
Hif1a	Egln1	0.8134208331617594
Arid3a	Cd81	0.8133385104527869
Nfatc1	Ptger2	0.8131972195230199
Irf4	St3gal1	0.8130641034928641
Ahctf1	Naa20	0.8128852894303562
Arid3a	Ccl3	0.8128705336707189
Clock	Tmbim1	0.8127035977874598
Ahr	Sptlc1	0.8123575725930945
Smad4	Ss18	0.8121500126366581
Batf	Cdk5	0.8120539193201234
Bcl6	Stard10	0.8119730428449744
Crem	Klf13	0.811890280813258
Cebpb	Nrp1	0.8117622469973954
Elk3	Ggta1	0.8116778089612879
Zfp281	Dazap2	0.8114718538761342
Batf	Qtrtd1	0.8113832812274625
Stat2	Ifi203	0.8113830403550037
Foxo3	Aldh3a2	0.8110680250596044
Batf	Ifitm3	0.8107085895882431
Bach1	Gbp4	0.810291354761567
Cebpb	Ap3b1	0.8098471322381929
Stat5b	Stat3	0.8097054017966173
Zfp52	Rab8b	0.809465548673888
Stat2	Trim26	0.809309295904962
Maff	Adam9	0.8091357777531298
Bach1	Irf4	0.8089247872239986
Rreb1	Mnda	0.8087958562900127
Dbp	Ptger2	0.808738285963688
Egr3	Nfkb2	0.8086298433290003
Irf1	Fndc3a	0.808383720412245
Klf9	Lgmn	0.8082943527502255
Nr3c1	Exosc8	0.8078950910364819
Atf2	Rgs19	0.8077548018234517
Atf2	Cyth3	0.8077343225758692
Sp110	Chst15	0.8075220162164856
Foxo3	B4galt1	0.807496731875931
Erf	Plxnc1	0.8073732062025983
Hif1a	Ppme1	0.8070948990139466
Rela	Tmem19	0.8065596473915415
Batf	Sgip1	0.8064177172575757
Irf4	Qtrtd1	0.806407880983382
Stat2	Glcci1	0.8062160921763638
Lyl1_Tal2	Tnfrsf18	0.8061434853857797
Zfp445	Runx1	0.8061079518029495
Arid3a	Igfbp7	0.8060615222213939
Egr2	Sesn1	0.8057756608825257
Batf	Rel	0.8057184335229147
Klf4	Asns	0.8055643821702966
Atf2	Il3	0.8054054476640329
Stat3	Flot1	0.8053853475607118
Cic	Gja1	0.8050641906861606
Nr3c1	Gmfg	0.8049526541456599
Stat1	Parp9	0.8049231992296404
Relb	Iqgap2	0.8047539442757397
Crem	Irf7	0.8040673693931639
Batf	Cmtm7	0.8040327498224997
Nfkb1	Ninj1	0.8038930042073752
Srebf1	Kif3a	0.8036039653241296
Bach1	Sox4	0.8034665356182429
Tef	Pdpn	0.8033955454569366
Bach1	Tcf12	0.8033771723346131
Ahr	Heatr1	0.8032519359256383
Arid3a	Cox17	0.8031712096832062
Rel	Lif	0.803102431805274
Irf4	Nfkbia	0.803035509485042
Klf9	Inpp5a	0.8029960466647511
Satb1	Ypel5	0.8027286196522749
Atf2	Ms4a4b	0.8026677780722912
Foxn2	Inpp1	0.8025649275181428
Zmiz2	Sytl3	0.8024727909313878
Egr1	Hmgn1	0.8021292936783586
Batf	Acp5	0.8020908845063744
Bach1	Klf2	0.802056896778421
Egr2	Cmah	0.8018129349871399
Rxra	Mecr	0.8013781903082656
Rel	Sema7a	0.8012812817625501
Bach1	Parp6	0.8011693988709585
Fos	Vim	0.8009323622678821
Gabpa	Smyd5	0.8006632460151321
Arid3a	Itm2a	0.8006616861456455
Zfp202	Eci1	0.8006357331138604
Egr1	Hemk1	0.8004245061414244
Rela	Sult2b1	0.800266438588647
Lyl1_Tal2	Sh2b1	0.8001614340373127
Ahr	M6pr	0.7999904627177478
Ahr	Slc25a30	0.7998227930110869
Hif1a	Cd96	0.7997791247205484
Ahctf1	Nxn	0.799493513871987
Erf	Prpsap2	0.7992515420240487
Egr3	Cnot1	0.7992350135669674
Arid2	Tnni1	0.7987247783305247
Mxi1	Ift57	0.7986018535860749
Atf2	Chic2	0.7982580666171146
Arid3a	Ermp1	0.7982436340506535
Foxn2	Npc2	0.7982178584910354
Batf	Stx7	0.7981343132855937
Bcl6	Serpinf1	0.7977690513477147
Cic	Ikzf4	0.7976502450748602
Tcf3	Glcci1	0.7974591555595691
Arid3a	Ccbl2	0.797303996439883
Batf	Nupr1	0.7972710158303304
Bach1	Adrb2	0.7969874947955272
Fli1	Plagl1	0.7968206391121704
Batf	Me2	0.7963652812409598
Egr1	Bcl2l2	0.796258427617015
Hif1a	Pfkp	0.7962311408683463
Bach1	Cd274	0.7960644575648421
Foxn2	Ing2	0.7959121005712524
Ncoa3	Stat5b	0.7957149945672382
Egr2	Tmem19	0.7954614534688917
Bcl6	Plekha2	0.7954444469747078
Arid3a	Serpinb6b	0.7953756904765751
Dbp	Nedd9	0.7952455446648593
Rreb1	Mapk7	0.7952234619376035
Cdc5l	Pts	0.7946283988380548
Mxi1	Pla2g12a	0.7945287591088013
Klf4	Ndrg2	0.7942173638588792
Atf5	Rnf130	0.7940731851428604
Irf8	Cd9	0.7940587430048827
Ahr	Smyd5	0.794049581919664
Gabpa	Ecd	0.7939590750230684
Cebpb	Ssbp4	0.7934749212541092
Irf2	Nrip1	0.7934530643808771
Egr1	Plod2	0.7934520069958086
E4f1	Slc38a1	0.793238210223458
Atf2	Tapbpl	0.7931804259633323
Egr2	Gltscr2	0.7931053479122114
Rest	Plxnd1	0.7927157128810578
Zfp281	Rara	0.7923584824139601
Cic	Marveld1	0.7921454739546075
Bach1	Ccdc50	0.7919407912903194
Nfic	Ptpre	0.7919210914901018
Ahr	Rgs14	0.7918386994339097
Atf6	Vrk2	0.7917383443572695
Zfp296	Nefh	0.7916672660319587
Arid5a	Celf2	0.7915321644861851
Arid2	Thoc3	0.7914591652040625
Jun	Pmepa1	0.7913438875728085
Stat3	Cxcr5	0.7913368623905519
Ahr	Trim13	0.7912997902580927
Irf2	Lsp1	0.7912665607369246
Klf4	Syce2	0.7909927620920626
Nfkb2	Nfkb2	0.7904511361325942
Nr4a2	Mbtd1	0.7898243233392145
Cebpb	Cltb	0.7897268519906151
Batf	Gla	0.7895377550798334
Atf2	Larp1b	0.7892825999369474
Batf	Pck2	0.7892515119125544
