TF	Target	Confidence
Arid3a	Exoc4	0.5694438956337273
Bhlhe40	Foxo1	0.5693273290244882
Hif1a	Fam114a2	0.5685521572878429
Skil	Aim1	0.5684305080173694
Klf10	Trib2	0.5680952053304978
Srebf1	Gap43	0.5678880306836285
Mxd4	Chac1	0.567868808293637
Egr1	Ucp2	0.5677613606515279
Srebf1	Mapk7	0.5677453549358338
Mtf2	Npc2	0.5676196255851105
Mef2d	Smarca2	0.567591808563353
Foxo1	Spata6	0.5675337285824353
Irf4	Cxcl10	0.5674966179177316
Klf7	Trp53i13	0.5669953189734435
Zfp329	St7	0.5667190867610128
Rxrb	Ccr7	0.5665141592581755
Stat3	Ly6a	0.566382624911656
Ikzf4	Gusb	0.5663073661930629
Fli1	Lpxn	0.5659584532369354
Fosb	Nfat5	0.5653774565032361
Bhlhe40	Plxnc1	0.5648315583287717
Stat1	Pml	0.5646888386617206
Hif1a	Piga	0.5646197746578597
Foxp1	Adam9	0.564496688520943
Ets2	Rras	0.5640937251007383
Sp3	Tiparp	0.5640026069471153
Fos	Prnp	0.5636732935548867
Cic	Emp1	0.5631873618633862
Bhlhe40	Dst	0.5631645024168406
Drap1	Syf2	0.563014409576861
Mtf2	Psmd8	0.5629495825680706
Zfp568	Mdn1	0.5626993630556429
Mxi1	4833439L19Rik	0.5624850909543218
Tal2	Armcx2	0.5622236614083203
Mxi1	Kdelc1	0.5621264273736729
Zfp386	Ascc1	0.5619534303433387
Atf6b	Slc9a8	0.5614598553071246
Nr1d2	Aqp3	0.5614374306156475
Zeb2	Cxcr4	0.5608411415871133
Cux1	Stat4	0.5607614304100925
Zfp277	Spn	0.5607095292986486
Mxi1	Tex2	0.5607050837201859
Zhx1	Aen	0.56065906214947
Zfp52	Creb3l2	0.5606560281268679
Arid2	Rgs16	0.5602875296236283
Zfp101	Ankzf1	0.5602826752462498
Zbtb32	Trim24	0.5602733816267507
Batf	Itgb7	0.5601973780034804
Nr4a2	Il10rb	0.5598985711947113
Arid5a	Kdelc1	0.5595895675739224
Irf9	Alcam	0.5594583070978503
Cggbp1	D1Ertd622e	0.5582956368012156
Stat1	Lgals3bp	0.5582215801690397
Stat3	Ripk2	0.5578942352650242
Zfp51	Ifngr2	0.5573083741446584
Klf4	Rnf181	0.5570447579098259
Irf9	Zbp1	0.5569687892015966
Nr1h2	Pqlc1	0.5569412594104013
Cebpb	Akap12	0.5566864959135094
Bcl6	Slc29a3	0.5564744264849292
Zfp280c	Fbxo2	0.5562371910659961
Egr3	Ifi203	0.5561728747143748
Arid5a	Ahnak	0.5559077792858895
Tef	Rai14	0.5557569749335662
Hif1a	Pgam1	0.5555861476143845
Ikzf4	Opn3	0.5553581401645301
Usf2	Rab20	0.5552528868798441
Cebpz	Gripap1	0.5549138263609744
Klf9	Cdk5	0.5548903473728259
Zfp426	Cd274	0.5546987060709515
Myc	Dnmt3a	0.5545883378743014
Ddit3	Myo18a	0.5542841071138676
Ncoa3	Zfp445	0.554107683984739
Mxi1	Gart	0.5540904082146273
Ncoa1	Csnk1e	0.5540145142907467
Zbtb7b	Srpk1	0.5539627561933775
Elf1	Asf1a	0.5538903948767537
Hif1a	1190002N15Rik	0.5531725736924367
Lef1	Ick	0.552821262720997
Sp3	Rras	0.5527722858188245
Bhlhe40	Ikzf4	0.5525833581345859
Batf	Anxa2	0.5525161634940223
Zbed4	Ptp4a1	0.5524853957075431
Bcl6	Cnnm3	0.5522442339392899
Arid3a	Chmp4b	0.5522156036450179
Cux1	Gbp4	0.552113786646039
Rela	Ahr	0.5517301556059294
Zeb2	Lactb	0.5516772654335528
Klf6	Wee1	0.5515571918588316
Ikzf4	Ccbl2	0.5514874658748149
Srebf1	Fads2	0.5508580048053124
Mef2d	Tcf12	0.5506036467331047
Klf6	Tns1	0.5505803001361437
Zfp62	Itgb1	0.5504791455946503
Hif1a	Ccng2	0.5502575175680982
Zfp568	Dclre1a	0.5502464943673229
Mtf2	0610012G03Rik	0.5500918683286757
Hif1a	R3hdm1	0.5500764173506157
Etv6	Anapc1	0.5500616393606943
Egr3	Smg5	0.5499801799617343
Pou2af1	Trim26	0.5499165291802176
Zfp617	Tlcd1	0.5498089969198428
Nr1h2_Nr1h3	L1cam	0.5497860269618937
Nfkb1	Creb1	0.5494514808643001
Tal2	Rgs1	0.5492702793703925
Egr1	Bmyc	0.5485998227200062
Elk4	Lrrc59	0.548533048322442
Nr4a3	Batf	0.5485310083842989
Cebpb	Cdc25b	0.5483897179837798
E2f1	Dclre1a	0.5483435174380604
Elf1	Ifih1	0.5483258325099403
Creb3l2	D1Ertd622e	0.5482325651875907
Stat3	Rorc	0.5482239733495173
Rara	Gripap1	0.5479110961004465
Zeb2	Sytl3	0.547628945024488
Stat1	Parp9	0.5476101211816718
Rlf	Narf	0.5474704242149675
Ncoa3	Ell2	0.5473408280539571
Klf4	Pycr1	0.5470424364595985
Stat3	Cndp2	0.546962981515587
Rest	Galnt3	0.546831340091164
Ncoa3	Id3	0.5468268858329011
Tal2	Myo18a	0.5466512058967081
Klf6	Cdkn1b	0.5465640026332788
Atf5	Plod3	0.5464284530435239
Srebf1	Clk3	0.5463671004595128
Klf13	Pde8a	0.5463163341107706
Egr3	Ncdn	0.5461194801033791
Cebpb	Exoc6	0.5459261178143944
Runx2	Arhgef3	0.545855995380653
Cebpb	Kctd12	0.5455163126590953
Klf10	Mpzl2	0.5453669920546365
Bhlhe40	Cyth3	0.5451565812944172
Zfx	Rel	0.5448484140376022
Foxo3	Mpp1	0.5448282416945457
Zfp277	Aste1	0.544550913594174
