TF, Gene	Bulk	MicroArray
("Batf", "Ddr1")	false	true
("Irf4", "Ddr1")	false	false
("Stat3", "Ddr1")	true	true
("Fosl2", "Ddr1")	true	true
("Batf", "Dgat1")	true	true
("Irf4", "Dgat1")	false	false
("Stat3", "Dgat1")	false	false
("Hif1a", "Dgat1")	false	false
("Irf4", "Dhrs1")	false	false
("Batf", "Dnmt3a")	true	true
("Irf4", "Dnmt3a")	false	false
("Stat3", "Dnmt3a")	false	false
("Batf", "Dpp4")	false	false
("Rorc", "Dpp4")	false	false
("Fosl2", "Dpp4")	true	true
("Batf", "Dst")	true	true
("Fosl2", "Dst")	true	true
("Batf", "Dusp14")	true	true
("Fosl2", "Dusp14")	false	false
("Batf", "Dusp2")	true	true
("Irf4", "Dusp2")	true	true
("Fosl2", "Dusp2")	true	true
("Irf4", "Dusp22")	false	false
("Fosl2", "Dusp22")	true	true
("Batf", "Dusp6")	false	false
("Irf4", "Dusp6")	false	false
("Stat3", "Dusp6")	false	false
("Rorc", "Dusp6")	false	false
("Etv6", "Dusp6")	false	true
("Hif1a", "E330009J07Rik")	true	true
("Fosl2", "Ece1")	false	false
("Batf", "Ecm1")	false	false
("Irf4", "Ecm1")	false	false
("Fosl2", "Ecm1")	true	true
("Batf", "Edem1")	true	true
("Irf4", "Edem1")	false	false
("Hif1a", "Egln1")	true	true
("Irf4", "Egln3")	false	false
("Stat3", "Egln3")	true	true
("Rorc", "Egln3")	false	false
("Fosl2", "Egln3")	false	false
("Hif1a", "Egln3")	true	true
("Stat3", "Egr2")	false	false
("Rorc", "Egr2")	false	false
("Fosl2", "Egr2")	false	false
("Rorc", "Egr3")	false	false
("Nfe2l2", "Egr3")	false	false
("Batf", "Ehd3")	true	true
("Fosl2", "Ehd3")	true	false
("Stat3", "Ehd4")	false	false
("Fosl2", "Eid1")	true	false
("Hif1a", "Eid1")	true	true
("Batf", "Eif4e3")	true	true
("Rorc", "Eif4e3")	true	true
("Fosl2", "Eif4e3")	false	false
("Irf4", "Ell2")	true	false
("Batf", "Emb")	true	true
("Stat3", "Emb")	true	true
("Batf", "Emp1")	true	true
("Irf4", "Emp1")	false	false
("Stat3", "Emp1")	false	false
("Rorc", "Emp1")	false	false
("Fosl2", "Emp1")	false	false
("Irf4", "Emp3")	false	false
("Fosl2", "Emp3")	true	true
("Batf", "Endod1")	false	false
("Irf4", "Endod1")	true	true
("Irf4", "Eno3")	false	true
("Stat3", "Eno3")	false	false
("Rorc", "Eno3")	false	false
("Fosl2", "Eno3")	true	true
("Batf", "Erc1")	true	true
("Irf4", "Erc1")	true	true
("Batf", "Ermp1")	true	true
("Irf4", "Ermp1")	true	false
("Fosl2", "Ermp1")	true	true
("Hif1a", "Ero1l")	true	true
("Batf", "Ets1")	true	true
("Fosl2", "Ets1")	true	true
("Hif1a", "Ets1")	true	false
("Batf", "Ets2")	false	false
("Rorc", "Ets2")	false	false
("Irf4", "Etv6")	false	false
("Stat3", "Etv6")	true	true
("Batf", "Evi2a")	false	false
("Hif1a", "Exosc8")	true	true
("Irf4", "Extl3")	false	true
("Fosl2", "Extl3")	true	true
("Hif1a", "Fam114a2")	true	false
("Rorc", "Fam3c")	false	false
("Irf4", "Fas")	true	true
("Rorc", "Fas")	false	false
("Hif1a", "Fau")	true	true
("Fosl2", "Fbxo11")	true	true
("Batf", "Fbxo4")	true	false
("Batf", "Fes")	false	false
("Irf4", "Fes")	false	false
("Stat3", "Fes")	false	false
("Batf", "Flna")	false	true
("Batf", "Flot1")	true	true
("Irf4", "Flot1")	false	false
("Stat3", "Flot1")	true	true
("Rorc", "Flot1")	false	false
("Fosl2", "Flot1")	false	false
("Hif1a", "Flot1")	false	true
("Batf", "Flot2")	true	true
("Irf4", "Flot2")	false	false
("Stat3", "Flot2")	false	false
("Fosl2", "Flt3l")	false	false
("Hif1a", "Flt3l")	false	false
("Etv6", "Flt3l")	false	false
("Stat3", "Fosl2")	true	false
("Hif1a", "Fosl2")	false	false
("Etv6", "Fosl2")	false	false
("Batf", "Foxo1")	true	true
("Irf4", "Foxo1")	true	true
