TF	Gene	Variance_Explained	Rank	Count	Sign
Cic	Aldh3a2	0.08462574763857623	2822.2	5	1
Rxrb	Armcx2	0.08453102701573534	2833.5	6	1
Stat2	Gja1	0.08445639484187782	2832	4	-1
Snapc2	Tfg	0.08434309966300024	3067.25	7	1
Nfat5	Ddr1	0.08402792788803087	3070.05	6	-1
Gata3	Aldh3a2	0.0837720789533882	2831.85	5	-1
Lyl1_Tal2	Ube2v1	0.08340892267652836	2828	5	1
Snapc2	Emb	0.0829359204004983	2828.6	5	1
Fosl1	Gja1	0.08213642127763321	2834.4	5	1
Cbx2	Armcx2	0.08208216189369684	2359.7	3	1
Zfp688	Plod3	0.08178489766594246	2360.15	2	-1
Batf	Gsn	0.08120774534571895	3296.95	6	1
Hbp1	Sh2d3c	0.0808843297109296	2597.95	4	1
Ets2	Sh2d3c	0.08053768813548948	3525.5	9	1
Rest	Psph	0.08012925592820572	2359.45	2	1
Bcl6	Golm1	0.07979511717212615	2353.25	2	-1
Bbx	Dazap2	0.0797453781198075	3293.5	8	1
Drap1	Gsn	0.07961308190623315	2583	4	1
Irf4	Dazap2	0.07932910440806995	2109	1	1
Zbtb7b	Dusp6	0.07899482411042434	2107.9	1	-1
Nfkb1	Anapc1	0.0789946388942933	2354.45	2	1
Bcl6	Slc38a1	0.0786877977716728	2580.6	4	-1
Klf13	Dhrs1	0.07834987638056218	2595.9	4	1
Junb	Slc38a1	0.0782223238670271	2835.85	5	1
Fosb	Dazap2	0.07807661923404674	3290	7	1
Foxn2	Dazap2	0.07801382086747159	2600.05	4	1
Mxd4	Psph	0.07778507347881387	2358	2	-1
Atf3	Ube2v1	0.077731174431625	3067.85	5	1
Relb	Dusp6	0.07739416158648191	2347.15	2	-1
Foxo3	Spry1	0.07736601179336834	2595.5	5	-1
Bhlhe40	Aldh3a2	0.07721864070208286	2594.75	3	1
Zfp202	Dazap2	0.07683170445922306	3525.6	9	1
Rbpj	Slc38a1	0.07674571943509051	2591.15	5	1
Klf10_Klf11	Plod3	0.0755853697831775	2351.45	3	1
Rreb1	Dusp6	0.07549525136918551	3056.35	7	1
Foxo3	Dusp6	0.07492022662781248	2107.5	3	1
Bach1	Anapc1	0.07449337372080764	3295.55	7	1
Trps1	Gsn	0.07378607634059894	2350.5	3	-1
Elf1	Ddr1	0.07328030190200392	2106.8	1	-1
Nfe2l2	Gja1	0.07308672573049708	2593.95	4	1
Usf2	Dazap2	0.07298280251337312	2591.05	4	1
Zfp426	Gsn	0.07294886477084336	2355.3	2	1
Bbx	Tfg	0.07246465898138839	3524.2	9	1
Klf2	Spry1	0.07237088320835047	3522.5	9	1
Mafg	Riok3	0.07192163636765835	2829.3	4	1
Nr4a1	Dhrs1	0.07177979470537661	2593.35	4	1
Bcl6	Emb	0.07146460394048063	3054.05	6	1
Mbd6	Slc38a1	0.07103218464547072	2108.5	1	1
Atf6	Spry1	0.07093472205958105	2818.65	5	1
Creb3l2	Spry1	0.07011585263191951	2588.6	4	1
Creb1	Gsn	0.06987726274958986	2353.55	2	1
Cic	Tfg	0.06954499964012252	2589.55	4	1
Atf5	Sh2d3c	0.06948397330793156	2351	3	1
Irf4	Ddr1	0.06889964824651955	2107.1	2	-1
Ets2	Slc38a1	0.06849078257519015	2106.5	1	1
Zfp202	Spry1	0.06846424441865204	2824.1	4	1
Patz1	Ddr1	0.06829101075739441	2107.25	1	1
Arid3a	Sh2d3c	0.06819402585013937	2107	1	-1
Dbp	Dusp6	0.06794956833058116	2819.55	5	1
Nfkb1	Emb	0.06730406541684664	2106.7	1	-1
Mef2d	Dhrs1	0.06726692615200551	2354.8	2	-1
Gabpa	Plod3	0.06709791283783306	2354.2	3	1
Sp4	Dusp6	0.0668397132518472	2588.6	3	1
Irf1	Dhrs1	0.06671171943258783	2821.55	5	1
Myc	Plod3	0.06653184896464745	2352.4	2	1
Tal2	Armcx2	0.06607966040359532	3052.5	7	1
Srebf1	Gja1	0.06605297180881357	2106.1	3	1
Tef	Gsn	0.06596286378178655	2357.1	3	1
Foxo1	Slc38a1	0.06556542679760233	2108.35	1	-1
Nfic	Papss1	0.06497873204387887	2352.35	2	1
Hif3a	Dazap2	0.06479841479996978	2351.05	2	1
Atf5	Papss1	0.06451970772944235	2348.65	2	1
Ahr	Riok3	0.06410257805616751	2819.7	6	1
Irf1	Papss1	0.06352708465815804	2583.25	4	1
Cic	Riok3	0.06351563971667588	2351.6	2	1
Lyl1_Tal2	Plod3	0.06345446367052146	2350.15	2	1
Myc	Emb	0.06344181242015907	2105.3	1	-1
Bcl6	Papss1	0.06326944802461493	3049.85	7	1
Irf8	Riok3	0.06297102782189792	2811.4	4	1
Gpbp1	Tfg	0.06260204292569191	2106.2	1	1
Zeb1	Emb	0.062035516921791586	2820.15	5	1
Mxi1	Golm1	0.062015988568660196	2806.85	5	1
Sp2	Papss1	0.061785277000387016	2106.6	1	1
Atf6	Slc38a1	0.06158073465101762	2581.5	3	1
Bhlhe40	Plod3	0.06126683645613874	2352	2	1
Deaf1	Armcx2	0.061036057887454406	2105.1	1	1
Hif1a	Gsn	0.060972491871634636	3048.95	7	1
Kdm5b	Psph	0.060927220927176964	2351.9	2	1
Zfp87	Dazap2	0.060751644759683573	2106.2	1	1
Elk3	Plod3	0.06064911548454055	3050.05	6	1
Irf2	Aldh3a2	0.060536444940382586	2574.7	3	1
Plagl2	Anapc1	0.060445047298874545	2812.1	4	1
Batf	Ddr1	0.060349294673455754	2104.9	2	-1
Bhlhe40	Anapc1	0.060310013234762136	2342.85	2	1
Stat5b	Gja1	0.06028915104300986	3047.25	7	1
Cic	Emb	0.05991476514848907	2343.05	2	1
Irf9	Anapc1	0.059763875643556875	2107.65	1	-1
Klf4	Dazap2	0.059432000924680116	2582.2	3	1
Cdc5l	Gsn	0.05938971691713568	2343.25	4	1
Atf2	Armcx2	0.05932573259732421	2816.9	4	1
Creb3l2	Armcx2	0.05900071102590232	2105.5	1	1
